Control_of_Corruption,Poverty_Headcount_Ratio,Year,Voice_Accountability,Regulatory_Quality,Govt_Expenditure_perc_GDP,FDI_Inflows_perc_GDP,Rule_of_Law,Country,Government_Effectiveness,GDP_Growth_annual_perc,External_Debt_perc_GNI,Political_Stability,Risk_Category,Voice_Accountability_flag,Political_Stability_flag,Government_Effectiveness_flag,Regulatory_Quality_flag,Rule_of_Law_flag,Control_of_Corruption_flag,total_flags,corruption_risk,Year_numeric
1.83219265937805,0.2,2014,1.41233158111572,1.83872532844543,16.4020498301416,3.55390337011002,1.88629722595215,Canada,1.75371766090393,2.87346677785811,,1.17550384998322,Low-Risk,0,0,0,0,0,0,0,0,2014
1.84565019607544,0.5,2015,1.46729922294617,1.70605802536011,17.0597786823228,3.85389453706153,1.8071414232254,Canada,1.7309353351593,0.649971001734855,,1.26233685016632,Low-Risk,0,0,0,0,0,0,0,0,2015
1.94446551799774,0.5,2016,1.44561123847961,1.72741413116455,17.498604071126,2.23835012140903,1.8009147644043,Canada,1.7445410490036,1.03855092490855,,1.24041163921356,Low-Risk,0,0,0,0,0,0,0,0,2016
1.88144600391388,0.5,2017,1.47808432579041,1.87965595722198,17.6065954076372,1.53752071953934,1.76343929767609,Canada,1.81557297706604,3.03383491200222,,1.08968114852905,Low-Risk,0,0,0,0,0,0,0,0,2017
1.79020822048187,0.2,2018,1.50241100788116,1.69941985607147,17.5409004540917,2.46931207254863,1.71514165401459,Canada,1.67513394355774,2.74296344906655,,0.963971078395844,Low-Risk,0,0,0,0,0,0,0,0,2018
1.72989678382874,0.2,2019,1.43030834197998,1.71000242233276,18.1057096781026,2.80676687017653,1.71977615356445,Canada,1.69731068611145,1.90843194590616,,0.994933545589447,Low-Risk,0,0,0,0,0,0,0,0,2019
1.56571280956268,0.2,2020,1.47166883945465,1.5925897359848,28.5714736058033,1.75897085668576,1.61910331249237,Canada,1.59831285476685,-5.03823343468899,,1.01318228244781,Low-Risk,0,0,0,0,0,0,0,0,2020
1.61626875400543,0.2,2021,1.44535887241364,1.61376404762268,22.4985744222565,2.97618288160973,1.59289026260376,Canada,1.5614572763443,5.95052802804381,,0.962336957454681,Low-Risk,0,0,0,0,0,0,0,0,2021
1.65857303142548,,2022,1.44002974033356,1.67709279060364,18.2522606578883,2.29317324184365,1.56462013721466,Canada,1.56661772727966,4.18903628100851,,0.780681550502777,Low-Risk,0,0,0,0,0,0,0,0,2022
1.67150104045868,,2023,1.4796462059021,1.64471042156219,19.2603133808938,1.93601776565032,1.47300565242767,Canada,1.51680326461792,1.52874550838358,,0.822420537471771,Low-Risk,0,0,0,0,0,0,0,0,2023
