country,headline,url,date,snippet,year,month,window_start,window_end
Iraq,صنع في العراق …. الفاسدون يحاربون الفساد,https://iraqakhbar.com/iraq-news/583322/%D8%B5%D9%86%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82-%D8%A7%D9%84%D9%81%D8%A7%D8%B3%D8%AF%D9%88%D9%86-%D9%8A%D8%AD%D8%A7%D8%B1%D8%A8%D9%88%D9%86-%D8%A7%D9%84%D9%81%D8%B3,20171129T141500Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,القضاء العراقي .. مشروع التخريب العميق,https://www.iraqakhbar.com/iraq-news/630504/%D8%A7%D9%84%D9%82%D8%B6%D8%A7%D8%A1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%A7%D9%84%D8%AA%D8%AE%D8%B1%D9%8A%D8%A8-%D8%A7%D9%84%D8%B9%D9%85%D9%8A%D9%82,20171216T190000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,صوت العراق,https://www.sotaliraq.com/2017/11/21/%D9%85%D9%83%D8%AA%D8%A8-%D9%85%D9%83%D8%A7%D9%81%D8%AD%D8%A9-%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D9%8A%D8%A7%D9%84-%D9%8A%D8%AA%D9%87%D9%85-%D9%85%D8%AF%D9%8A%D8%B1%D9%8A%D9%86-%D8%AA%D9%86%D9%81/,20171121T010000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq, « الحرّ يأكل من مخلابه »! ,https://aawsat.com/home/article/1082706/%C2%AB%D8%A7%D9%84%D8%AD%D8%B1%D9%91-%D9%8A%D8%A3%D9%83%D9%84-%D9%85%D9%86-%D9%85%D8%AE%D9%84%D8%A7%D8%A8%D9%87%C2%BB,20171113T210000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,الأحرار النيابية تكشف عن وجود  مافيات فساد  في احدى الوزارات,http://www.iraqicp.com/index.php/sections/news/64949-2017-10-13-07-46-52,20171013T103000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,Corruption — the Mideast political gangrene,http://www.arabnews.com/node/1213006,20171222T200000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,صنع في العراق …. الفاسدون يحاربون الفساد,http://www.irakna.com/2017/11/29/%D8%B5%D9%86%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82-%D8%A7%D9%84%D9%81%D8%A7%D8%B3%D8%AF%D9%88%D9%86-%D9%8A%D8%AD%D8%A7%D8%B1%D8%A8%D9%88%D9%86-%D8%A7%D9%84%D9%81%D8%B3%D8%A7/,20171129T171500Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,القضاء العراقي .. مشروع التخريب العميق,http://www.non14.net/95917/,20171216T224500Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,صوت العراق,https://www.sotaliraq.com/2017/11/27/%D8%A7%D9%84%D8%A5%D8%B5%D9%84%D8%A7%D8%AD-%D9%82%D8%A8%D9%84-%D9%85%D8%AD%D8%A7%D8%B1%D8%A8%D8%A9-%D8%A7%D9%84%D9%81%D8%B3%D8%A7%D8%AF/,20171127T174500Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,اخبار العراق اليوم,http://www.source-7.com/Al-Raq/1402275.html,20171127T093000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,مصادر : الفاسدون الأعلى صوتاً في مكافحة الفساد !! ,https://iraqakhbar.com/iraq-news/575694/%D9%85%D8%B5%D8%A7%D8%AF%D8%B1%D8%A7%D9%84%D9%81%D8%A7%D8%B3%D8%AF%D9%88%D9%86-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D8%B5%D9%88%D8%AA%D8%A7%D9%8B-%D9%81%D9%8A-%D9%85%D9%83%D8%A7%D9%81%D8%AD%D8%A9,20171127T093000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,قناة دجلة تكشف تفاصيل مفاوضات البنك الدولي مع العراق بشأن فساد مزاد العملة,https://iraqakhbar.com/iraq-news/579793/%D9%82%D9%86%D8%A7%D8%A9-%D8%AF%D8%AC%D9%84%D8%A9-%D8%AA%D9%83%D8%B4%D9%81-%D8%AA%D9%81%D8%A7%D8%B5%D9%8A%D9%84-%D9%85%D9%81%D8%A7%D9%88%D8%B6%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D9%86%D9%83-%D8%A7%D9%84,20171128T130000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,"Profesori din Ploiesti , trimisi in judecata pentru coruptie . Au luat spaga de la elevi ca sa",http://www.ziarelive.ro/stiri/profesori-din-ploiesti-trimisi-in-judecata-pentru-coruptie-au-luat-spaga-de-la-elevi-ca-sa-i-treaca-corigenta.html,20171005T083000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,حكام السعودية يكافحون الفساد بالفساد,http://www.irna.ir/ar/News/82776662,20171226T180000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,Corruption,http://www.newstoday.com.bd/index.php?option=details&news_id=2489052&date=2017-12-26,20171225T151500Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
